"name","sys_class_name","category","version","operational_status"
"/apds module on Apache Tomcat Application Server 4.1 listening on 8005, 8080, 8009 on emapdl202","Applicazione","Resource","","Operational"
"/apds module on Apache Tomcat Application Server 4.1 on emapdl202","Applicazione","Resource","","Operational"
"/confluence module on Apache Tomcat Application Server 7.0 listening on 8000, 8090 on c20awijira01","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/contentserverdav module on Apache Tomcat Application Server 6.0 on e8088sea","Applicazione","Resource","","Operational"
"/doc/pdf module on Apache Tomcat Application Server 5.5 listening on 6009, 6080 on cl088syf","Applicazione","Resource","","Operational"
"/doc/pdf module on Apache Tomcat Application Server 5.5 listening on 6009, 6080 on el088sz5","Applicazione","Resource","","Operational"
"/doc/pdf module on Apache Tomcat Application Server 5.5 on sl0bzsyb","Applicazione","Resource","","Operational"
"/EnelDmsWip module on Apache Tomcat Application Server 5.5 listening on 8005, 6666, 8010 on c3088oc4","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server 4.1 listening on 8005, 8080, 8009 on emapdl202","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server 4.1 on emapdl202","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on e3088sna","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on e3088snq","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on el088sq2","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server listening on 8005, 8080, 8009 on empdsil526","Applicazione","Resource","","Operational"
"/examples module on Apache Tomcat Application Server on empdsil526","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on cl0bzskd","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on cl0bzske","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on el088sl3","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on el088sl4","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on el088sl5","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server 6.0 listening on 6162, 6161 on el088sl6","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on e3088sna","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on e3088snq","Applicazione","Resource","","Operational"
"/inet-webservice-monitor module on Apache Tomcat Application Server listening on 6162, 6161, 8008 on el088sq2","Applicazione","Resource","","Operational"
"/iview/regulations module on Apache Tomcat Application Server 5.0 on c3088lo1","Applicazione","Resource","","Operational"
"/iview/regulations module on Apache Tomcat Application Server 5.0 on e3088lo1","Applicazione","Resource","","Operational"
"/iview/regulations module on Apache Tomcat Application Server 5.0 on e3088lo2","Applicazione","Resource","","Operational"
"/iview/regulations module on Apache Tomcat Application Server 5.0 on e30bzlo1","Applicazione","Resource","","Operational"
