"name","sys_class_name","category","version","operational_status"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on elaawospia07","Applicazione","Resource","","Operational"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on elaawospia08","Applicazione","Resource","","Operational"
"/CLIQRemote module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/CLIQRemote module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/CLIQRemote module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/CLIQWebManager module on Apache Tomcat Application Server 8.5 listening on 8009 on e2aaeigrod00","Applicazione","Resource","","Operational"
"/CLIQWebManager module on Apache Tomcat Application Server 8.5 listening on 8009 on e2aaeigrod00","Applicazione","Resource","","Operational"
"/CLIQWebManagerEnrolment module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/CLIQWebManagerEnrolment module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/CLIQWebManagerEnrolment module on Apache Tomcat Application Server 8.5 listening on 8009, 8010 on e2aaeigrof00","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on c20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on c20acmdiga00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8081, 9044 on alaawospna00","Applicazione","Resource","","Operational"
"/Graffici module on Apache Tomcat Application Server 7.0 listening on 10082 on elaawmccid04.risorse.enel","Applicazione","Resource","","Operational"
"/Graffici module on Apache Tomcat Application Server 7.0 listening on 8105, 8180, 8009, 10181 on cl0awmivrd03.risorse.enel","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8081, 9044 on alaawospna00","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9397, 30496 on cl0awme2bw04","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9397, 30496 on cl0awme2bw05","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9398, 30494 on cl0awme2bw04","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9398, 30494 on cl0awme2bw05","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9399, 30492 on cl0awme2bw04","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9399, 30492 on cl0awme2bw05","Applicazione","Resource","","Operational"
"/p2pd module on Apache Tomcat Application Server 6.0 listening on 9399, 9300 on elaaeigiga02","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 8080, 9002 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 8081, 9044 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 8481, 9024 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 9080, 9102 on claawospna01","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 9081, 9144 on claawospna01","Applicazione","Resource","","Operational"
"/ppm-tm-hpa-web module on Apache Tomcat Application Server listening on 9481, 9124 on claawospna01","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 8080, 9002 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 8081, 9044 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 8481, 9024 on claawospna00","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 9080, 9102 on claawospna01","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 9081, 9144 on claawospna01","Applicazione","Resource","","Operational"
"/ppm-tsapproval-hpa-web module on Apache Tomcat Application Server listening on 9481, 9124 on claawospna01","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 8080, 9002 on claawospna00","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 8081, 9044 on claawospna00","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 8481, 9024 on claawospna00","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 9080, 9102 on claawospna01","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 9081, 9144 on claawospna01","Applicazione","Resource","","Operational"
"/ppm_dm-web module on Apache Tomcat Application Server listening on 9481, 9124 on claawospna01","Applicazione","Resource","","Operational"
"/pvo module on Apache Tomcat Application Server listening on 8081, 9044 on alaawospna00","Applicazione","Resource","","Operational"
"/utility_portlets module on Apache Tomcat Application Server listening on 8081, 9044 on alaawospna00","Applicazione","Resource","","Operational"
"/workplan-ng module on Apache Tomcat Application Server listening on 8081, 9044 on alaawospna00","Applicazione","Resource","","Operational"
"0021071975-pro","Applicazioni bilanciamento del carico","","","Operational"
"01-eng-XEBPMengine module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer","Applicazione","Resource","","Operational"
"01-eng-XEBPMengine module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer_master","Applicazione","Resource","","Operational"
"01-eng-XEBPMengine module on Oracle WebLogic Server Cluster 11g Release 1 XEBPMCluster","Applicazione","Resource","","Operational"
"06-workspaceadmin-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer","Applicazione","Resource","","Operational"
"06-workspaceadmin-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer_master","Applicazione","Resource","","Operational"
"06-workspaceadmin-XAFDIDS.ear module on Oracle WebLogic Server Cluster 11g Release 1 XEBPMCluster","Applicazione","Resource","","Operational"
"07-papiws-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer","Applicazione","Resource","","Operational"
"07-papiws-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer_master","Applicazione","Resource","","Operational"
"07-papiws-XAFDIDS.ear module on Oracle WebLogic Server Cluster 11g Release 1 XEBPMCluster","Applicazione","Resource","","Operational"
"08-workspace-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer","Applicazione","Resource","","Operational"
"08-workspace-XAFDIDS.ear module on Oracle WebLogic Server 11g Release 1 identified as XEBPMServer_master","Applicazione","Resource","","Operational"
"08-workspace-XAFDIDS.ear module on Oracle WebLogic Server Cluster 11g Release 1 XEBPMCluster","Applicazione","Resource","","Operational"
