"name","sys_class_name","category","version","operational_status"
"!! AppNea - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! ASID - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! ASID_2024_mini - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! CCSE - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! COMUNI - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! CONNESSIONI_COMPLESSE - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! CORSO_SEMPLIFICAZIONE - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! CSAT - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DAQ_20 - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DAQ_DAX - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DAQ_FOUR - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DAQ_SF - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DAQ_SMILE - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! DATI_UTENTI - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! DIGITALY - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! DISAGIO_FISICO - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! DOCUMENTUM - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! ESTRAZIONI - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! Estrazioni_Matteo - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! FLUX - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! GOALDW - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! GOAL_281 - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! GOAL_89 - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! GOAL_99 - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! GOAL_GAUDI - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! IMPROVEMENT_ACTION - SPOSTATO 02","Database MS SQL","","15.0.4455.2","Operational"
"!! IMPROVEMENT_ACTION_SVI - SPOSTATO 00","Database MS SQL","","15.0.4455.2","Operational"
"!! Power_BI_Elvira - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! Progetto_NOLA - SPOSTATO 03","Database MS SQL","","15.0.4455.2","Operational"
"!! TICKET - SPOSTATO - 03","Database MS SQL","","15.0.4455.2","Operational"
