"name","sys_class_name","category","version","operational_status"
"antaresdev-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"antaresnew-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"ap04627dev-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"ap04627dsc-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"Apache ActiveMQ 5.17 identified as localhost on elaawmqula17","Applicazione","Resource","5.17","Operational"
"Apache Airflow 2.6 on elaaembraa05","Applicazione","Resource","2.6","Operational"
"Apache Airflow on elabwgnaof00","Applicazione","Resource","","Operational"
"Apache Cassandra 2.2 on claawmivra07.enelint.global","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on elaaemccca17.enelint.global","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on elaaemccca33.enelint.global","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on elaawmccia47","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on elaawmccia48","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on slaawmccia00","Applicazione","Resource","2.2","Operational"
"Apache Cassandra 2.2 on slaawmccia01","Applicazione","Resource","2.2","Operational"
"Apache CouchDB Server on ewaawggipa04","Applicazione","Resource","","Operational"
"Apache CXF on claaemlocj01","Applicazione","Resource","","Operational"
"Apache CXF on elaaemlocj01","Applicazione","Resource","","Operational"
"Apache Derby Database Server 10.14 listening on port 1527 on hlaawibeta12","Applicazione","Resource","10.14","Operational"
"Apache Derby Database Server 10.14 listening on port 1527 on hlaawibeta15","Applicazione","Resource","10.14","Operational"
"Apache Derby Database Server listening on port 1527 on hlaawibeta06","Applicazione","Resource","","Operational"
"Apache Derby Database Server listening on port 1527 on hlaawibeta10","Applicazione","Resource","","Operational"
"Apache Derby Database Server listening on port 1527 on hlaawibeta13","Applicazione","Resource","","Operational"
"Apache JMeter on claawidonf00","Applicazione","Resource","","Operational"
"Apache Kafka Server on c9aaemb2oa01","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awbpief02]","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awbpief02]","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awdctma01]","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awdctma01]","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awdctmd01]","Applicazione","Resource","","Operational"
"Apache Web Server  [el0awdctmd01]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaacineva00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaacistlw07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaacistlw07]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeiammf00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeiammf00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeidi0f17]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeiexsa0q]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeiexsa0q]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeirdea12]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaeirdea12]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaemb2cj00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaemgutd00]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaaemweew06]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahifo1f04]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahifo1f04]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahifo1f10]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahifo1f10]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahigdhw11]","Applicazione","Resource","","Operational"
"Apache Web Server  [elaahigdhw11]","Applicazione","Resource","","Operational"
