"name","short_description","apm_business_process","application_type","architecture_type","install_type","install_status","life_cycle_stage_status","life_cycle_stage","technology_stack","user_base","platform","last_change_date","owned_by","it_application_owner","sys_updated_by","business_criticality","emergency_tier","data_classification","certified","model_id"
" API Gateway - Integration Services US","This APM contains all the API definitions for US region that are  deploied inside AWS API Gateway.
The architecture is based on the adoption of the Amaozon API Gateway replacing the old one based on Tibco Mashery.
The migration from Tibco Mashery to AWS Api Gateway is preformed using a Python script which extracts data from Mashery and generates Cloduformation scripts that are finally saved into Bitbucket's repositories and then deployed to AWS API Gateway using Bamboo.","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso","Unknown"
" TOEL GAMS ","Modulo dedicato al tool di ottimizzazione dell'esposizione LNG ( GAMS)","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
" When I Work","Employee scheduling and time tracking software for the management of approval request realted to the COVID task force","","COTS","","","Retired","","","","","","","","","ES22548681X","","","","falso","Unknown"
"%","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
"(ACI) CONTROL DE INTERFACES","Aplicación de arquitectura para el control de las interfaces.","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"*","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
".0E4E I&N SAP ECC (DIP) 010 -- TR","SAP E4E Pillar Infrastructure & Networks (DIP) - Module Finance and Submodule TRCM for Area Italy, Spain, Colombia, Brazil, Romania, Chile, Argentina, Peru. Management of guarantees and credit lines. Cash Position, Liquidity Forecast, Cash Concentration, Liquidity Planner. House bank master data, Master data for financial transactions, National bank master data.
","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso",""
"1C ASPR (1С АСПР)","1C ASPR","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"1C: ESS (1С Кабинет работника)","Employee Self Service (ESS)
Кабинет работника (КР)","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"1C:Doc (1С Документооборот)","Electronical document management system based  on 1C-workflow","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"1C:Enterprise (1С УПП)","Archive of old ERP. using periodicaly only for reading
ERP system analog 1? uses a application server of own developing. Architecture: the thick client - application server - DBMS server. 1C application server works under MS Windows Server","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"1C:ZUP (1С ЗУП)","salary and local HR management application","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"1ST","The APM manages GAS Large Customer. Centralizes sales channels: Smart Agent, Inbound Teleseller, Outbound Teleseller, KAM agencies, Third-party sales points. Pre-Sales, Sales and Post-Sales processesare tracked and managed. 
PRE-SALE: standard record search functionality and the possibility of creating new master data.
SALE: creation of a new contractual proposal and management of its evolution in subsequent status changes. When formulating a contract, 1ST is integrated with SEREM for requesting a pricing quotation, and it is possible to extract a string (excel file) containing the minimum information necessary for printing the contract (printing to be done outside the system).
POST SALES: possibility of extracting strings (excel files) containing contracts in status = COMPLETED LOGISTICS and status = COMPLETED BILLING, necessary for the activities of logistics and billing users (managed outside the system).","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso",""
"1С:ITA (1С ИТАктивы)","IT Assets Data Base данные по ИТ активам","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2019 - DWT  ADVANCED CONTRACT MGT & WAREHOUSE","Contract Mgt Evolution 
Contract Mgt Scale up 
AI in Purchase Chain
Digital Warehouse & AI for Working Capital
Spare Parts Tracking & Mgt","","Custom (developed from the scratch)","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
"2019 Tribe E-Operation","e-Worker Evolution 
Digital PTW
Technical Collaborative Meeting Mgt
Digital Operations Mgt

Fuel Mgt","","Custom (developed from the scratch)","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
"2BEAT Sao paulo Brazil","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT- PERU","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
"2BEAT-ARGENTINA","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT-CEARA BRAZIL","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT-CHILE","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT-COLOMBIA","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT-IoT-ITALY","Smart Metering System - Module for processing of Load Profile files downloaded from Concentrators","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
"2BEAT-ITALY","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
"2BEAT-PRODUCT"," HeadEnd System for Smart Metering  Solution
","","Custom (developed from the scratch)","","","Retired","","","","","","","","","admin","","","","falso","Unknown"
"2BEAT-RIO BRAZIL","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2BEAT-ROMANIA","Smart Metering System for the acquisition of measurement data from the devices connected to the low voltage grid","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AE81936","","","","falso",""
"2IRG-EE","Module to manage distribution portal 2IRG accesses for the EE (Enel Energia) scope.  The 2IRG Trader Portal.","","COTS (Commercial Off-The-Shelf NOT customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"2ONE  SUS","Modulo di SAP SRM (R7P) per la condivisione di informazioni con i fornitori","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2One Catalog (Workflow)","Applicazione Catalogo APC in cloud SAAS su SAP - Ariba - WF activities","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2ONE Catalog APC","Applicazione Catalogo APC in cloud SAAS su SAP - Ariba","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2One Catalog TEMPLATE","Applicazione Catalogo APC in cloud SAAS su SAP - Ariba - Template activities","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2ONE PI (X2P)","Modulo necessario a 2ONE SAP SRM (R7P) per la comunicazione con gli altri sistemi del Procurement","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2One Portal - LATAM WF","Latam WF requests","","Custom (developed from the scratch)","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
"2ONE SAP PORTAL","Modulo di SAP SRM (R7P), portale di accesso.","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2ONE SAP SRM (R7P)","Gestione RdA Contratti e Ordini di Acquisto","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"2ONE SAP SRM (WorkFlow)","2One SRM Economic WF management","","COTS (Commercial Off-The-Shelf customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"2ONE SUS","","","","","","Cancelled","","","","","","","","","admin","","","","falso",""
"2ONE SUS","","","","","","Cancelled","","","","","","","","","admin","","","","falso",""
"2ONE SUS","","","","","","Cancelled","","","","","","","","","admin","","","","falso",""
"3D SIMULATOR","The 3D Simulator project is an e-distribution initiative. It corresponds to simulated scenarios in virtual reality (VR) that are used for safety training - stand alone application from business develop by AYESA.","","COTS (Commercial Off-The-Shelf NOT customized)","","","Retired","","","","","","","","","admin","","","","falso",""
"3D Viewer - ENEL SP","Image Repository for Urban Futurability","","Custom (developed from the scratch)","","","Retired","","","","","","","","","A411653","","","","falso",""
