"name","sys_class_name","category","version","operational_status"
".NET Common Language Runtime:4.0 : avdjmpbeat-0","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : avdjmpita-0","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : avdjmpvcced-0","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : avdjmpvccit-0","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : brspprosccm002","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : c9aawcgeaa01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaacmsrca00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaahisytf03","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawiadef02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzalla00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzalla01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzapbf00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzesif00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzmayf05","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzsa7f02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzsa7f03","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwaawzsahf03","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwazwidalf00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwazwidalf01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : cwazwidaof01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e20abmarra01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e2aahisyta02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e2aawggred00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aaegsiha02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aaembiof02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aaemspea02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aapigapf02","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aawdclff01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aawgsmxf01","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aawmdfsa03","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e6aazigorf00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e9aaeiexsa00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e9aaemcovf00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e9aaemprea00","Applicazione","Resource","4.0","Operational"
".NET Common Language Runtime:4.0 : e9aahiapcf01","Applicazione","Resource","4.0","Operational"
