"name","sys_class_name","category","version","operational_status"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on elaawospia07","Applicazione","Resource","","Operational"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on elaawospia08","Applicazione","Resource","","Operational"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on slaawtspia06","Applicazione","Resource","","Operational"
"${confluence.context.path}/synchrony-proxy module on Apache Tomcat Application Server 8.0 listening on 8000, 8090 on slaawtspia07","Applicazione","Resource","","Operational"
"(ACI) CONTROL DE INTERFACES","Servizio infrastrutturale","General","","Operational"
".0E4E I&N SAP ECC (DIP) 010 -- TR","Servizio infrastrutturale","General","","Operational"
"/apidocs module on Apache Tomcat Application Server 6.0 listening on 8005, 80, 443 on emdrmw301","Applicazione","Resource","","Operational"
"/apidocs module on Apache Tomcat Application Server 6.0 listening on 8005, 80, 443 on emdrmw301pre","Applicazione","Resource","","Operational"
"/confluence module on Apache Tomcat Application Server 8 listening on 8000, 8090 on c20awijira01","Applicazione","Resource","","Operational"
"/confluence module on Apache Tomcat Application Server 8 listening on 8000, 8090 on c20awijira01","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on c20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on s20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on c20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on e20acmdiga00","Applicazione","Resource","","Operational"
"/ContentManager/data module on Apache Tomcat Application Server 5.5 listening on 8005, 8080, 8009 on s20acmdiga00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 11000, 11002 on emppmw104","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 12000, 12002 on emppmw104","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8080, 9002 on alaawospna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8080, 9002 on claawospna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8080, 9002 on elaawtspna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8080, 9002 on slaawtspna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8081, 9024 on slaawtspna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8081, 9044 on claawospna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8081, 9044 on elaawtspna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8481, 9024 on claawospna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 8481, 9024 on elaawtspna00","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9080, 9102 on claawospna01","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9080, 9102 on elaawtspna01","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9081, 9104 on elaawtspna01","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9081, 9144 on claawospna01","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9481, 9124 on claawospna01","Applicazione","Resource","","Operational"
"/dashboard module on Apache Tomcat Application Server listening on 9481, 9124 on elaawtspna01","Applicazione","Resource","","Operational"
"/EnelDmsWip module on Apache Tomcat Application Server 5.5 listening on 8005, 6666, 8010 on c3088oc4","Applicazione","Resource","","Operational"
"/ilws module on Apache Tomcat Application Server listening on 44007, 44006 on cl0awieffa00.risorse.enel","Applicazione","Resource","","Operational"
"/ilws module on Apache Tomcat Application Server listening on 44007, 44006 on sl0awieffa00.risorse.enel","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 11000, 11002 on emppmw104","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 12000, 12002 on emppmw104","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8080, 9002 on alaawospna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8080, 9002 on claawospna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8080, 9002 on elaawtspna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8080, 9002 on slaawtspna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8081, 9024 on slaawtspna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8081, 9044 on claawospna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8081, 9044 on elaawtspna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8481, 9024 on claawospna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 8481, 9024 on elaawtspna00","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9080, 9102 on claawospna01","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9080, 9102 on elaawtspna01","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9081, 9104 on elaawtspna01","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9081, 9144 on claawospna01","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9481, 9124 on claawospna01","Applicazione","Resource","","Operational"
"/itg module on Apache Tomcat Application Server listening on 9481, 9124 on elaawtspna01","Applicazione","Resource","","Operational"
"/jira module on Apache Tomcat Application Server 8 listening on 18005, 8085 on c20awijira01","Applicazione","Resource","","Operational"
"/jira module on Apache Tomcat Application Server 8 listening on 8005, 8080 on c20awijira01","Applicazione","Resource","","Operational"
"/MagicInfo module on Apache Tomcat Application Server 8.0 listening on 7005, 7001, 7009 on e80ahmprlf00","Applicazione","Resource","","Operational"
"/MagicInfo module on Apache Tomcat Application Server 8.0 listening on 7005, 7001, 7009 on e80ahmprlf00","Applicazione","Resource","","Operational"
"/MagicInfo module on Apache Tomcat Application Server 8.0 listening on 7005, 7001, 7009 on e80ahmprlf00","Applicazione","Resource","","Operational"
"/MagicInfoWebAuthorClient module on Apache Tomcat Application Server 8.0 listening on 7005, 7001, 7009 on e80ahmprlf00","Applicazione","Resource","","Operational"
